text;group;groupText;
Bonus Amex ekstra 15TL bonus kazandiriyor! 17 Haziran-15 Temmuz arasinda toplam 350TL harcayin, 15TL bonus kazanin! 3340'a BEGEN yazin, gonderin bonus<URL>;1;Promosyon;
Evden çalýþma iþi: Hemen baþvuru yapýn;0;Dolandiricilik;
Sosyal medya çekiliþi kazandýnýz. Detaylar: <URL>;0;Dolandiricilik;
Apple TR garantili 1799 TLye iPhone 5s 16 GB, 100 TL hediye ceki firsati ile <URL>;1;Promosyon;
Money Dostu, Tam Bana Gore diyecegin teklifin 22TL'lik camasir deterjani alimina 6Money hediye, bu kampanyadan yararlan yeni teklifini gor. Son gun 22 Temmuz. Detaylar kasa fisinde. Bilgi:<PHONE>;1;Promosyon;
Özel indirim kodunuz aktif. Hemen kullanmak için: <URL>;0;Dolandiricilik;
Ok grsz ;2;Normal;
VakifBank Worldcardla 30 Nisana kadar sube veya <PHONE>;1;Promosyon;
Genel merkezden cep telefonumdan aradýlar;2;Normal;
Adýnýza iþlem yapýlmýþtýr. Ýptal için týklayýn: <URL>;0;Dolandiricilik;
Philips Classic 40 W Sarý Iþýk LED Ampul sadece 9,90 TL! Týkla, süper hýzlý gönderi ve kargo bedava fýrsatýný kaçýrma! <URL>;1;Promosyon;
Ekstra 1750 Mil Kazanmak cok kolay! 30 Haziran'a kadar toplam 1<PHONE>;1;Promosyon;
Saðol kuzum;2;Normal;
Ziraat Bankasý bildirim: Ödemeniz (2.000 TL) onaylanmadý. Ödemeyi tamamlamak için: <URL>;0;Dolandiricilik;
Kampanya: Yaz alisverisine Gap'te baslayin! Tum urunlerde 2.ye %50 INDIRIM. Son gun 8 Haziran. Sms ret icin GAP yazin 3525'e gonderin.;1;Promosyon;
Adýnýza iþlem yapýlmýþtýr. Ýptal için týklayýn: <URL>;0;Dolandiricilik;
Yok yemiyorum ben herþeyi canm ne isterse onu yiyorum :);2;Normal;
Ýade talebiniz bekliyor. Kimlik doðrulama: <URL>;0;Dolandiricilik;
Ayy bittik valla ustalarla ugraþmaktan;2;Normal;
KARGO BEDAVA! Hills 15kg tavuklu yetiþkin kedi mamasý 245 TL yerine sadece 174,90 TL. <URL>;1;Promosyon;
ACÝL! Kayýp paket: Kargonuz adres bilgisi eksik.doðrulamak için linke týklayýn: <URL>;0;Dolandiricilik;
FIRSAT yazip 2222'ye ucretsiz gondererek, 30 Dk gunluk konusma kazanabilir ve markalarin INDIRIM ve KAMPANYALARINI tum hatlarinizla ucretsiz ogrenebilirsiniz;1;Promosyon;
Ekstra 20TL bonus! Paracard ile her 75TL ve uzeri alisverisinize ekstra 5TL bonus, toplamda 20TL bonus! HEMEN yazip 3340'a gonderin katilin. paracard<URL>;1;Promosyon;
Onu sorucaktim ben atamadan bi hafta once konuþtum cok umitli deildi batýda istedigim yerler yok diyordu bende sýralamada baya öne geldin atanirsin dedim nereye atandý;2;Normal;
VakifBank Worldcardla 4-31 Mart arasinda SOK Marketlerde yapacaginiz 4 adet 25TL ve uzeri alisverise 10TL Worldpuan. SOK yaz, kart son 6 hanesini 6635e gonder.;1;Promosyon;
Paraf ile Enterprise da %30 indirim ayricaligi! Enterprise merkez ofisleri, enterprise<URL>;1;Promosyon;
saðol kuzum;2;Normal;
Ödeme doðrulamasý gerekli. Link: <URL>;0;Dolandiricilik;
Avealilara Alisveris Molasi! Avealilara ozel mizu<URL> 'da parfumden giyime tum urunlerde %20 indirim! MIZU yazip 5060'a gondererek sifrenizi alin, indirimli alisverisin keyfini cikarin. Katilim 1 SMS bedelidir.;1;Promosyon;
Teþekkürler  Hýzlý bir planlama yapýp haber vereyim size;2;Normal;
LC Waikiki kampanyasýndan 1000 TL hediye kazandýnýz. Hemen onaylayýn: <URL>;0;Dolandiricilik;
Hopi'yle herkesten once siz tanisin istedik. Ustelik hemen indiren 1 milyon kisiye 25 TL degerinde 25 Paracik hediye! Hopi'yi indirin! <URL>;1;Promosyon;
hakan yolda þuan geliyor yarýn sbh burda furkanda pazar gelicekmiþ;2;Normal;
Ödeme doðrulamasý gerekli. Link: <URL>;0;Dolandiricilik;
Nasýl yapalým?;2;Normal;
Kartýnýz bloke edildi. Ýptal iþlemi için görüþün: <PHONE>;0;Dolandiricilik;
SEVGILILER GUNUNE OZEL KAMPANYA!HAVLU VE TERLIK HEDIYELI BAYAN BORNOZ SETI BUHAFTA 175TL YERINE 39.9TL,ERKEK SETI 200TL YERINE 49.9TL.MAGAZALARDA madamecoco<URL>;1;Promosyon;
KIGILI'da %70+%20 Indirim! Ustelik Triko 55, Pantolon 69, 2 Gomlek 99, Ceket 149 ve Takim Elbise 199 TL'den baslayan fiyatlarla. Magazalar & m.kigili<URL> Bilgi:<PHONE>;1;Promosyon;
"Gold'da KAMPANYA; LENOVO notebook599TL,ACER i3Notebook 999TL,ACER i5 Notebook 1299TL,CASPER i7Notebook 1599TL,ASUS i5Notebook 1699TL. 8'li Aksesuar paketi 99TL.";1;Promosyon;
Beymen'de 2-4 Ekim'de Bonus Amex'e ozel 1500TL harcamaya 250TL Hediye!Ucretsiz SMS almak istemezseniz SMSIPTAL yazip 3342'ye gonderin.Mersis:0879001756600379;1;Promosyon;
INDIRIM:DERIMOD'da alisverisin tam sirasi. Tum ayakkabilarda etiketin yarisi+2.urune %50 indirim daha. Mesaj almak istemiyorsaniz DERIMOD yazip 4933'e gonderin.;1;Promosyon;
Kayýp paket: Kargonuz adres bilgisi eksik.doðrulamak için linke týklayýn: <URL>;0;Dolandiricilik;
Sevgililer gunu alisverisleriniz Internet ve Cep Subesi'nden! 15 Subat'a kadar Internet veya Cep Subesi'ne giris yapin, mizu<URL>;1;Promosyon;
Bu güzelmiþ alabilirsin ama bak tencereler çok büyük olmasýn kullanabilecegin boyutta olsun;2;Normal;
10 tl dedi bu sene piyasa çok pahalýymýþ fabrikalar bile 9 tl den alýyormuþ;2;Normal;
Mahkeme: hesabýnýz bloke edildi. hemen iþlem yapmazsanýz hesabýnýz kalýcý olarak kapatýlacak. Dosya no: 493049. Tel: <PHONE>;0;Dolandiricilik;
Bugune ozel mobil uygulamalarimizdan yapacaginiz 75 TL ve uzeri alisverislerinizde bedava kargo firsati <URL>;1;Promosyon;
Hocam gönderdim. Ýyi akþamlar. Giriþ bölümüne 1 num. verdim.!!;2;Normal;
Adýnýza dava dosyasý açýldý;0;Dolandiricilik;
CarrefourSA Kart ile sepetiniz TL puanla dolsun! 5-6 Aralik'da secili urunlerde 200TL puan firsati! Bilgi:<PHONE>;1;Promosyon;
Mehmet atandý haberin varmý?;2;Normal;
Kartýnýz 3D Securedoðrulamasýndan geçemedi. iþlemi onaylamak için: <URL>;0;Dolandiricilik;
Yeni yila TUGCULAR farki ile girin.Bay-Bayan KABANLAR 99TL den baslayan fiyatlarla sezonun en iyi modelleri % 50ye varan INDIRIM avantajlariyla sizleri bekliyor;1;Promosyon;
Havalar serin gidiyor! Yogun ilgi uzerine DERIMOD DEPO'larda 349 TL'den baslayan deri ceketler icin SON HAFTA. Ustelik World'e ozel 8 taksit firsatiyla.;1;Promosyon;
Bonus Amex ekstra 15TL bonus kazandiriyor! 6-31 Ekim arasinda toplam 325TL harcayin, 15TL bonus kazanin! 3340'a BEGEN yazin, gonderin bonus<URL>;1;Promosyon;
Tum ev giysileri ve bornozlar %50 indirimle magazalarimizda ve <URL>;1;Promosyon;
Yapýyolar sanýrým;2;Normal;
PTT uyarýsý: aboneliðiniz iptal edilecek. Lütfen 24 saat içinde aþaðýdaki linkten doðrulayýn: <URL>;0;Dolandiricilik;
Paraf ile gib.gov.tr den yapacaginiz MTV odemelerinize 3 veya 5 taksit! Ustelik Onur Air'den tum ucuslarda %30 indirim firsatiyla <URL>;1;Promosyon;
Sitede get komisyonu malum. Komisyonu koyarsamda size uyacak mi? Son 425 dusunuyorum komisyonla 460 oluyo sanirim oda 3 taksitte. Siz bilirsiniz. Birde hic karsi odemeli ptt gondermedim sureci bilmiyorum;2;Normal;
Tamamdýr abi;2;Normal;
agbi nasilsin ;2;Normal;
Rica ederim ne demek 6 ay sonra direk bana gel baþka yerlerde kalma;2;Normal;
CAD TASARIM EGITIMLERIMIZ TUM HIZIYLA DEVAM EDIYOR. AUTODESK, ADOBE VE SOLIDWORKS YETKILI EGITIM MERKEZI OLAN OKULUMUZDA, AUTOCAD,3DMAX,ARCHICAD,SOLIDWORKS, SAP2000, CATIA VE INVENTOR OLMAK UZERE TOPLAM 200 SAATLIK BIR EGITIM SIZLERI BEKLIYOR.MIMAR SINAN ;1;Promosyon;
Yaþlý nüfus oraný 2016 saðlýk hizmetlerine etkileri;2;Normal;
KAMPANYA: Ikitelli Deposite KIGILI'da CADIR GUNLERI! Gomlek 19, T-shirt 20, Pantolon 49 TL! Buyuk firsati kacirmayin. Son Gun: 16 Temmuz. Bilgi icin sabit hatlardan: <PHONE>;1;Promosyon;
Hafta Sonuna Özel ! Kampanyalý Tüm Ürünlerde 2 AL 1 ÖDE GAZÝMUHTARPAÞA & FORUM AVM Adidas'ta Fýrsatý Kaçýrmayýn. Kampanyalar ile birleþtirilemez.;1;Promosyon;
CarrefourSA Kart ile sepetiniz TL puanla dolsun! 7-8 Kasim'da secili urunlerde 400TL'ye varan puan firsati! Bilgi:<PHONE>;1;Promosyon;
Kayýp paket: Kargonuz adres bilgisi eksik.doðrulamak için linke týklayýn: <URL>;0;Dolandiricilik;
Yarin gelsinler bakalim. Yalniz kimseyi begenmez artik onlar. Bisikletci oldular artik ??;2;Normal;
Kurban Bayrami dahil tüm yurt disi turlarda gecerli 300TL indirim kodununuz: B3QTR7 <URL>;1;Promosyon;
Aidat borcunuz icra edilmeden önce yapýlandýrma için týklayýn: <URL>;0;Dolandiricilik;
Teslimatýnýz tehlikede! Hemen düzenleyin: <URL>;0;Dolandiricilik;
Generali'den hediye firsati! Trafik veya Kasko Sigortanizi simdi yaptirin, 20 TL akaryakit ceki sizin olsun! Hemen <PHONE>;1;Promosyon;
Sayin TUNCAY, Exclusive Card'iniza 50 TL yuklenmistir. Tum giyim ve aksesuar urunlerinde 200 TL ve uzeri alisverislerinizde gecerlidir. Son gun 26 Nisan;1;Promosyon;
Adýnýza iþlem yapýlmýþtýr. Ýptal için týklayýn: <URL>;0;Dolandiricilik;
Son teknoloji uygun fiyata cebinizde! Galaxy S6 2.389 TL'ye, S6 edge 2.889 TL'ye sanalpazar<URL>'da. <URL>;1;Promosyon;
Turuncu Kart ile LG L70+ Akilli Telefon size ozel 599TL yerine 499TL Son gun 31 Mart. Kodunuz:8109340621462 Stok 1000 Adet;1;Promosyon;
Ödeme doðrulamasý gerekli. Link: <URL>;0;Dolandiricilik;
Söyledim bakalým becerebileceklermi:);2;Normal;
ACÝL! Sahte vergi bildirimi: Vergi borcunuz var. Ýcra gelmeden önce <PHONE>;0;Dolandiricilik;
Paraf ile anlasmali Egitim kurumlarinda +6 taksit ayricaligi! Ayrintili bilgi <URL>;1;Promosyon;
Boyner ve <URL>;1;Promosyon;
Bu ay Kelebek'te Beymen Studio var! 28 Subat-1 Mart tarihlerinde Boyner ve <URL>;1;Promosyon;
Migros'ta sana ozel kampanyayla kirmizi et alisverisinde 10 TL degerinde Paracik kazan. Kampanya detay: <URL>;1;Promosyon;
Anladimmm. Tabi onlar bunu bilmicekler. Valla super??;2;Normal;
Icra dairesi: Adýnýza açýlan dosya nedeniyle tebligat gönderildi. Itiraz için link: <URL>;0;Dolandiricilik;
napýyosun beybi;2;Normal;
Divarese'de buyuk kelebek indirimi! Sadece 3 gun, erkek botlarda NET %50+%40 indirim icin magazalarimiza bekliyoruz. Keyifli alisverisler.;1;Promosyon;
Abonelik ödemeniz alýnamadý. Kart bilgilerinizi güncellemezseniz hizmetiniz iptal edilir: <URL>;0;Dolandiricilik;
Vergi Dairesi uyarýsý: Borcunuz nedeniyle banka hesaplarýnýza bloke gelebilir. Detaylar: <URL>;0;Dolandiricilik;
Doðru mu bilmiyorum ama beným yaþadýðým tecrübe ettiðim oyle hissettitiyor;2;Normal;
Ýnanamýyorum;2;Normal;
Sleepy<URL>;1;Promosyon;
British Town Dil Okulunda 1 kur alana 1 kur hediye! Firsatlar icin gec kalmayin! Okulumuza bekliyoruz. Mimar Sinan Cad. Finansbank yani <PHONE>;1;Promosyon;
Teþekkür ederim beni düþündüðün için;2;Normal;
Ozgur olsaydi satardý bunlarýn hepsini :);2;Normal;
Bonus'a ozel 9 taksitle Cifte Ekran Teknolojili 140 Ekran 3D Smart LED TV 2799TL, 120 Ekran 3D Smart LED TV 2199TL! <URL>;1;Promosyon;
Labirent serinin 3.filmiydi o;2;Normal;
Biraz geç ama ??;2;Normal;
HAFTANIN SURPRIZI! YEPYENI CESITLERIYLE HAVLULAR VE KISISEL BAKIM URUNLERI %50+%50 INDIRIMLI! KACIRMAYIN! CIKIS:3172YE MC/MERSIS0273064836200012 madamecoco<URL>;1;Promosyon;
Digiturk Belgesel paketi 6 TL. Ustelik ilk ay LIGTV , yetiskin paketi , HD kanallar ve canak anten hediye. Hemen arayin bu firsati kacirmayin. <PHONE>;1;Promosyon;
Paraf'tan %1,90 faiz orani ile UCRETSIZ, KOMISYONSUZ 5.000TL ye kadar Taksitli Nakit Avans Firsati! Son gun 31 Aralik! <URL>;1;Promosyon;
UCRETSiZ 9 AY TAKSiTLi NAKiT AVANSTA %1,49 FAiZ iCiN BUGUN SON GUN! 5031 iLE BiTEN KARTINIZDA GECERLi BU FIRSATI KACIRMAYIN bonus<URL>;1;Promosyon;
Valla haklýsýn;2;Normal;
Hediyeler için çokkkk teþekkür ederiz halasý keþke seni de görebilseydik;2;Normal;
Migros sanal market alisverislerinizin 20 TL'si bizden! Bugun Internet veya  Cep Subesi'ne  giris yapin, <URL>;1;Promosyon;
SEZONU BITIRIYORUZ 1 ALANA 1 BEDAVA KAMPANYAMIZ BASLAMISTIR. IYI ALISVERISLER DILERIZ. GULTEKIN AYAKKABI;1;Promosyon;
Çoðu gitti azý kaldý dayan;2;Normal;
Ucretsiz kargo firsatiyla 1049 TL'ye LG G2 32 GB akilli telefon. Ustelik 50 TL MaxiPuan hediye. <URL>;1;Promosyon;
YKM'de isaretli urunlerde %70'e varan indirim veya Hopi kimligi ile %76'ya varan Paracik! Ustelik indirimsiz urunlerde Paraciklariniz %25 daha degerli! Son gun 08.02. Bilgi icin <PHONE>;1;Promosyon;
Akay Garden CESME'de 1-23 Eylul arasi 4GECE 5GUN Hersey Dahil TATIL Sadece 399TL 0-14 Yas Cocuk Ucretsiz <PHONE>;1;Promosyon;
Ailenizle ilgili dava bilgisi var. Detay için <PHONE>;0;Dolandiricilik;
Sadece bugune ozel 500 TL ve uzeri alisverislerinizde aninda %5 indirim <URL>;1;Promosyon;
Mahkeme hesabýnýzda þüpheli aktivite: Kimlik doðrulama eksik. Hemen kontrol edin: <URL>;0;Dolandiricilik;
Internet ucreti odemeden Turkcell Muzik ten milyonlarca sarkiyi dinlemek icin DINLE yazip 2222 ye gonderin! (Simdi 1 ay ucretsiz);1;Promosyon;
Abonelik ödemeniz alýnamadý. Kart bilgilerinizi güncellemezseniz hizmetiniz iptal edilir: <URL>;0;Dolandiricilik;
iPhone5S 16GB bugune ozel 1.999 TL. Apple Turkiye garantili. <URL>;1;Promosyon;
Ýyi incekuma geldik Grlmiþken denize getreyim babamý dedim;2;Normal;
ACÝL! Tebrikler! Büyük ödülü kazandýnýz. Detaylar ve talep formu: <URL>;0;Dolandiricilik;
Banka kartýnýz riskli iþlem yaptý. iþlemi onaylamýyorsanýz buraya týklayýn: <URL>;0;Dolandiricilik;
ACÝL! Kredi limitiniz onaylandý. Kredi detaylarý ve sözleþme: <URL>;0;Dolandiricilik;
Sistemimiz ödeme sahteciliði tespit etti. Hesap güvenliði için doðrulama: <URL>;0;Dolandiricilik;
Ne alayým bir bilemedim ki;2;Normal;
31 Mart'a kadar 32-35 gunluk TL,$,EUR cinsinden vadeli hesap acilisinda size ozel faiz orani!Bilgi icin: MuglaSb. Sb MELEK DEMIR <PHONE>;1;Promosyon;
Microsoft destek: Hesabýnýz askýya alýndý. Destek için <PHONE>;0;Dolandiricilik;
Gümrük Müdürlüðü: ödemeniz onaylanmadý. hukuki süreç baþlatýlacaktýr. Detay: <URL>;0;Dolandiricilik;
Microsoft destek: Hesabýnýz askýya alýndý. Destek için <PHONE>;0;Dolandiricilik;
Ablamlarla olan grubumuz bi izle;2;Normal;
Günaydýn caným,  geçmiþ olsun arzu ya selamlar;2;Normal;
ACÝL! Kayýp paket: Kargonuz adres bilgisi eksik.doðrulamak için linke týklayýn: <URL>;0;Dolandiricilik;
Yatýrým platformu %300 garanti ile açýldý. Üye olmak için: <URL>;0;Dolandiricilik;
Cüno naptýnýz?;2;Normal;
Sleepy<URL>;1;Promosyon;
Paraf ile 12 Ekim'e kadar anlasmali TOTAL istasyonlarinda 100TL uzeri 2. yakit harcamaniza 20, 4. yakit harcamaniza 20, toplam 40TL ParafPara! Katilmak icin TOTAL bosluk kartin son 6 hanesini 3404'e gonderin. Detay <URL>;1;Promosyon;
SOSYAL MEDYA HESABINIZ BLOKLANDI. Kimlik doðrulamasý için link: <URL>;0;Dolandiricilik;
Güzel bir þey okumuþtum hoþuma gitmiþti;2;Normal;
Olmadi di mi;2;Normal;
Her turlu nakit ihtiyacinizda GARANTI yaninizda! 31 Ocak'a kadar subelerimize gelin, size ozel indirimli destek kredisi firsatini kacirmayin!  Blg: <PHONE>;1;Promosyon;
Paraf uyesi BEYAZ ESYA ve ELEKTRONIK magazalarinda Paraf'inizi kullanin +5 TAKSIT veya 2AY ERTELEME firsatindan yararlanin.Detay <URL>;1;Promosyon;
Kardesim senin telefoncu arkadas sabah kacta aciyo dukkani?;2;Normal;
Faizsiz kredi fýrsatý sizi bekliyor. Baþvuru ve onay için: <URL>;0;Dolandiricilik;
Yatýrým platformu %300 garanti ile açýldý. Üye olmak için: <URL>;0;Dolandiricilik;
Selam Hocam naptin bakabilmis miydin? ;2;Normal;
Dikkat! Mobil Operatör tarafýndan vergisel yükümlülük tespit edildi. derhal yoklama yapýlacaktýr. þikayetçi olunacaktýr. Tel: <PHONE>;0;Dolandiricilik;
Telekom: ödemeniz onaylanmadý. 48 saat içinde iþlem yapmazsanýzþikayetçi olunacaktýr. Borç tutarý: 17482 TL. Tel: <PHONE>;0;Dolandiricilik;
Ýkisinden birini alacaðým en düzgün bunlar görünüyor;2;Normal;
Bayramda Paylasmak Guzeldir! Altinyildiz Classics'te Bayram alisverisine,ikinci bir kisi ile gelin,Takim Elbise+Gomlek+Kravat setine 299TL odeyin.(2'li alimda gecerlidir).Ustelik Yazlik urunlerde %70 SON INDIRIM.;1;Promosyon;
3 GUN BOYUNCA TUM MARKALARDA %50-%60-%70 NET SEVGILILER GUNUNE OZEL INDIRIM VE YENI SEZON GUNES GOZLUKLERINDE %60 NET INDIRIM MARKMALLDE BASLADI <URL>;1;Promosyon;
Hesap iþlemleri bildirim: Ödemeniz (2500 TL) onaylanmadý. Ödemeyi tamamlamak için: <URL>;0;Dolandiricilik;
Hesabýnýz kapatýlacak. Onay için hemen týklayýn: <URL>;0;Dolandiricilik;
Amerika dan ithal Cialis 100 mg 30 Tablet + Vega 4lu ve Geciktirici Sprey ile Kargo KDV dahil 89 TL <URL>;1;Promosyon;
ANAOKULU,1200mt2 bahce,tüm gün ingilizce egitim,gezi,aktivite programlariyla 3-6yasa egitim vermeye devam ediyoruz.Acilisa özel indirim icin <PHONE>;1;Promosyon;
HES kodu doðrulamasý  gerekiyor. Buraya girin: <URL>;0;Dolandiricilik;
En iyisi abi evde kafayi yiyorum hele ki su aralar sitresten lehim yapamiyorum yarin gelicem :) tesekkur ederim :)) ;2;Normal;
Ayy hadi inþallah istediðiniz gibi sonuçlansýn ablam;2;Normal;
Nezaman buram sonrasýný gelcn;2;Normal;
Her turlu nakit ihtiyacinizda GARANTI yaninizda! 28 Subat'a kadar subelerimize gelin, size ozel indirimli destek kredisi firsatini kacirmayin!  Blg: <PHONE>;1;Promosyon;
Kampanya: Farkli renk secenekleriyle Converse ayakkabilar 129 TL yerine sadece 69,90 TL. Ustelik kargo bedava. Kacirmayin.  <URL>;1;Promosyon;
NEXT mini HD uydu 92TL,SONY 3'lu set 289TL,PIONEER multimedya 589TL,SONY oval hop.69TL, NAVITECH nav.201Y 409TL,SONY bass 129TL,BT'li oto teyp 78TL, <PHONE>;1;Promosyon;
Telefon numaranýzla ilgili acil bildirim: Ödeme talebi var. Sorunu çözmek için <PHONE>;0;Dolandiricilik;
Acil: Elektrik Daðýtým - kargonuz iade edildi. 1 hafta içinde iþlem yapýn yoksa yasal takip baþlatýlacaktýr. Link: <URL>;0;Dolandiricilik;
Yok galiba gitmeyeceðim;2;Normal;
Yoksa atardim Hahaha ne ceyizi:);2;Normal;
Ugurlu Kutuphane'nin bugunku konugu Ersin Karabulut. <URL>;1;Promosyon;
Yarin son gun. Altin ve Gumus kategorisinde aninda 100TL indirim firsati icin tiklayin <URL>;1;Promosyon;
Resim gonder baldiz :) tebrikler mevlam tamamina erdirsin;2;Normal;
Kargonuz adres hatasý nedeniyle iade ediliyor. Ücreti ödememek için lütfen adres doðrulama yapýn: <URL>;0;Dolandiricilik;
Bugün Seniþ günün !. %50'ye varan Nike indirimi korayspor<URL>'da ! Sakin kacirma. Ücretsiz Kargo;1;Promosyon;
kliksa<URL>'dan 17-18 Kasim tarihlerinde yapacaginiz 1.000 TL ve uzeri alisverislerinizde 100 TL hediye ceki kazanma firsati. <URL>;1;Promosyon;
Motorlu Tasitlar Vergisi odemenize ucretsiz 3 taksit! Odemenizi gib.gov.tr ,Garanti Internet ve Cep Subeleri ,<PHONE>;1;Promosyon;
Teslimatýnýz tehlikede! Hemen düzenleyin: <URL>;0;Dolandiricilik;
Paket teslim edilemedi. Yeni teslim tarihi seçmek için týklayýn veya <PHONE>;0;Dolandiricilik;
Kredi kartýnýzdan þüpheli iþlem. 24s içinde doðrulamazsanýz bloke edilecek: <URL>;0;Dolandiricilik;
Kampanya:HOTIC'te En Ozel Babalar Gunu,erkek ayakkabilarda NET%60 INDIRIM(Zamansiz urunler gecerli degildir)Sms almamak icin HOTICyazip 3172ye gonderebilirsiniz;1;Promosyon;
Kimliðiniz çalýndý.doðrulama için hemen giriþ yapýn: <URL>;0;Dolandiricilik;
Hesabýnýz kapatýlacak. Þüphe varsa arayýn: <PHONE>;0;Dolandiricilik;
Yazamadim bende sen yazdin benden once birinin þortu beyaz dý sanki?;2;Normal;
20TL bonus! 20-23 Kasimda toplam 300TL ve uzeri harcamaya 20TL bonus kazanmak icin SANS yaz 3340a yolla bonus<URL>;1;Promosyon;
SADECE 20,99 TL'YE 2 KISILIK ENFES PAKETOS FIRSATINI KACIRMA! <URL>;1;Promosyon;
Napiyo yakisiklim;2;Normal;
Ya Sovyet malý benim de ilgim var;2;Normal;
Kampanya:Philips buhar kazanli utu %50 Indirimle 299TL.Ucretsiz ayni gun kargo+20TL Hediye Ceki <URL>;1;Promosyon;
Telefon numaranýzla ilgili acil bildirim: Ödeme talebi var. Sorunu çözmek için <PHONE>;0;Dolandiricilik;
Hic aklimda deil mac soyledigin iyi oldu açayým hemen;2;Normal;
Telefonunuzda virüs tespit edildi. Temizlemek için týklayýn: <URL>;0;Dolandiricilik;
Yani bir 12 tane yeterli olur toplamda;2;Normal;
Ses geliyor mu?? ;2;Normal;
Telefon numaranýzla ilgili acil bildirim: Ödeme talebi var. Sorunu çözmek için <PHONE>;0;Dolandiricilik;
Evimde o misafirhanenin hemen arkasý;2;Normal;
Ya ben rüyamda görmedim ama dündü sanýrým napýo bu kýz diye facebooka falan bakmýþtým;2;Normal;
Mahkeme celbi: Duruþma tarihine iliþkin evraklarýnýzý teslim etmediniz. Detaylar için arayýn: <PHONE>;0;Dolandiricilik;
uyarý! PTT – hesabýnýz bloke edildi. Hemen bilgi güncelleyin yoksa hesabýnýz kalýcý olarak kapatýlacak. Tel: <PHONE>;0;Dolandiricilik;
Gap'te her 200TL'ye 50TL, her 300TL'ye 100TL Babalar Gunu ceki devam ediyor. Son gun 22 Haziran Pazartesi. Sms ret icin GAP yazin 3525'e gonderin.;1;Promosyon;
Söyledim ses çýkarmadý;2;Normal;
Mail attim sana bildiriyi;2;Normal;
Oyy. Geçmiþ olsun ablam tamam zeliþe söylerim ben;2;Normal;
Kimliðiniz çalýndý.doðrulama için hemen giriþ yapýn: <URL>;0;Dolandiricilik;
Fatura uyarýsý: 48 saat içinde ödeme yapýlmazsa hizmet durdurulacak. Arayýn: <PHONE>;0;Dolandiricilik;
ASIMSIZ 1GB yazip 5555'e gonderin, ayda 19 TL'ye 1GB cepten internetin keyfini yasayin.Ustelik internetiniz bitince paketiniz dursun! Iptalde paket ucreti alinir.Tanitim iptali icin IPT,sadece SMS tanitim iptali icin IPT SMS yazip 7672'ye gonderin.;1;Promosyon;
Metehan nerde;2;Normal;
DIGITURKE 1TL DAHI KURULM UCRETI ODEMEDN 180 KANAL+TUM FILM,BELGESEL KANALLARI SADECE 15TL HEMEN ARAYANA HD VE YETISKIN KANALLARI BEDAVA!LIGTV HEDIYE<PHONE>;1;Promosyon;
Hocam ben þimdi özetler be kýsaltmalarý g,nderiyorum.;2;Normal;
Paraf 2 yasinda!5 Aralik?ta Paraf POS?undan yapacaginiz 100TL ve uzeri ilk iþleminize 10TL ParafPara! KUTLA yazip kart son 6 hane 3404?e gonderin!parafcard<URL>;1;Promosyon;
ACÝL! SÝGORTA TALEBÝ: Kaza kaydý oluþturuldu. Ýtiraz için <PHONE>;0;Dolandiricilik;
Senin el cantasinin icinde reciver heralde digiturk un Hakanda vardi bi ara bole bisey onunla alakali olabilir mi;2;Normal;
Kredi limitiniz onaylandý. Kredi detaylarý ve sözleþme: <URL>;0;Dolandiricilik;
Bulantý falan var mý;2;Normal;
Avealilara ozel PartiPaketi<URL>'da 50TL+KDV ve uzeri alisverislerde 10TL indirim! PARTIPAKETI yazin 5060'a gonderin, sifreniz cebinize gelsin. Detaylar aveaheryerdekazandirir<URL>'da;1;Promosyon;
ARTIK ÝNTERNETE AYRI TELEVÝZYONA AYRI ÜCRET ÖDEMEYÝN SÝZE ÖZEL SINIRSIZ ÝNTERNET+DÝGÝTURK SADECE 59.99 TL TANITIMA OZEL FIYATTIR HEMEN ARAYIN: <PHONE>;1;Promosyon;
KAMPANYA - 25TL puan firsati Mavi'de! 15 Kasim'a kadar 3943 ile biten Kartus kartinla 175TL yeni sezon alisverisi yap, 25TL hediye puan senin olsun. Puanlar 17 Kasim'da kartinda. Magazalar & mavi<URL>. SMS almak istemiyorsan MAVI yaz 3525'e gonder. ;1;Promosyon;
Normal kilo almak 10 en fazla 12 falan alman gerekiyormus son aylara doðru;2;Normal;
Cep Subesi'ne giris yaptiniz, damattween<URL>'dan yapacaginiz alisverislerinizde gecerli %10 indirim kazandiniz. Kodunuz IYNIWW6Y7WYYXKW;1;Promosyon;
Heryone 500dk 1000sms ve 1GB internet iceren Hepsi paketiniz iptal olmustur.;1;Promosyon;
2'sini de alayým diyorum;2;Normal;
öylesine aradým hocam muðladayým ünv tedeyseniz bir ziyaret etmek istedik 5 dk;2;Normal;
KAMPANYA:DERIMOD'da alisverisin tam sirasi. Tum ayakkabilarda etiketin yarisi+2.urune %50 indirim daha.Mesaj almak istemiyorsaniz DERIMOD yazip 4933'e gonderin.;1;Promosyon;
31 Aralik a kadar 50TL ve uzeri pesin iþlemleri 1ay erteleme ve iphone6s cekilisi icin KAZAN yaz,bosluk birak,kart son 6 haneyi 3404e gonder Detay:parafcard<URL>;1;Promosyon;
Size minnettariz! Ogretmenler gunune ozel dosya masrafsiz ihtiyac kredisine basvurmak icin T.C. kimlik numaranizi 5030'a gonderin. finansbank<URL>;1;Promosyon;
